"Visib_miles","Humidity","Cloud","Feels_like_c","wind_north_direction","snow_or_not"
0,6,0.571428571428571,6,"no","no_snow"
0,6,0.558441558441559,100,"yes","no_snow"
0,6,0.896103896103896,100,"no","no_snow"
0,6,0.597402597402597,77,"no","no_snow"
0,6,0.649350649350649,9,"no","no_snow"
0,6,0.805194805194805,100,"yes","no_snow"
1.62,6,0.961038961038961,80,"yes","no_snow"
0,6,0.519480519480519,13,"no","no_snow"
1.79,6,0.727272727272727,100,"yes","no_snow"
0.77,2,0.948051948051948,100,"no","no_snow"
0,6,0.623376623376623,5,"no","no_snow"
1.53,6,0.714285714285714,47,"no","no_snow"
1.79,4,0.74025974025974,100,"yes","no_snow"
0.09,6,0.623376623376623,1,"no","no_snow"
1.7,6,0.181818181818182,1,"no","no_snow"
0,6,0.467532467532468,53,"no","no_snow"
0.26,5,0.974025974025974,100,"no","no_snow"
0,6,0.844155844155844,39,"no","no_snow"
0,4,0.909090909090909,69,"yes","no_snow"
0.51,6,0.545454545454545,8,"no","no_snow"
0,6,0.545454545454545,5,"no","no_snow"
0,6,0.454545454545454,100,"no","no_snow"
0,6,0.350649350649351,0,"yes","no_snow"
0.09,6,0.558441558441559,71,"no","no_snow"
0,6,0.922077922077922,61,"no","no_snow"
0.68,6,0.701298701298701,33,"no","no_snow"
0.43,6,0.571428571428571,54,"no","no_snow"
0,6,0.467532467532468,3,"no","no_snow"
0,6,0.428571428571429,0,"yes","no_snow"
0,6,0.571428571428571,6,"no","no_snow"
0,6,0.311688311688312,0,"no","no_snow"
0,6,0.545454545454545,34,"yes","no_snow"
0,6,0.766233766233766,22,"no","no_snow"
0.77,6,0.766233766233766,88,"no","no_snow"
0,6,0.519480519480519,74,"yes","no_snow"
0,0,0.506493506493507,26,"yes","no_snow"
2.21,6,0.493506493506494,44,"no","no_snow"
0,6,0.454545454545454,3,"no","no_snow"
0,6,0.350649350649351,0,"no","no_snow"
0.51,6,0.376623376623377,9,"no","no_snow"
0,6,0.753246753246753,11,"no","no_snow"
1.7,1,0.961038961038961,71,"no","no_snow"
0.51,6,0.48051948051948,100,"no","no_snow"
0.68,6,0.545454545454545,40,"no","no_snow"
0,6,0.584415584415584,32,"yes","no_snow"
0,6,0.38961038961039,46,"no","no_snow"
0,0,0.909090909090909,100,"yes","no_snow"
0.68,6,0.61038961038961,95,"no","no_snow"
0.43,6,0.649350649350649,37,"no","no_snow"
0,6,0.779220779220779,98,"yes","no_snow"
0.09,1,0.961038961038961,100,"no","no_snow"
0.26,4,0.909090909090909,91,"no","no_snow"
0,6,0.675324675324675,9,"no","no_snow"
0,6,0.545454545454545,100,"no","no_snow"
1.36,6,0.428571428571429,3,"no","no_snow"
0,6,0.805194805194805,96,"no","no_snow"
0,1,0.961038961038961,53,"yes","no_snow"
0,6,0.61038961038961,0,"no","no_snow"
0,6,0.87012987012987,82,"no","no_snow"
0,6,0.922077922077922,96,"yes","no_snow"
0,6,0.402597402597403,0,"no","no_snow"
0.09,6,0.584415584415584,100,"no","no_snow"
0,6,0.337662337662338,31,"no","no_snow"
0.09,6,0.376623376623377,4,"no","no_snow"
0,6,0.792207792207792,88,"no","no_snow"
0,6,0.688311688311688,3,"no","no_snow"
2.21,6,0.506493506493507,45,"no","no_snow"
1.36,5,0.948051948051948,100,"no","no_snow"
0.09,0,0.818181818181818,100,"no","no_snow"
1.36,6,0.74025974025974,90,"no","no_snow"
0,5,0.883116883116883,91,"no","no_snow"
13.35,1,0.74025974025974,60,"no","no_snow"
0.77,6,0.779220779220779,86,"no","no_snow"
0,6,0.298701298701299,0,"no","no_snow"
1.36,5,0.948051948051948,100,"no","no_snow"
0.26,6,0.844155844155844,49,"yes","no_snow"
0,6,0.597402597402597,12,"no","no_snow"
0,6,0.597402597402597,27,"no","no_snow"
0.26,4,0.909090909090909,100,"no","no_snow"
0,1,0.961038961038961,76,"yes","no_snow"
0,6,0.48051948051948,26,"no","no_snow"
0,6,0.779220779220779,12,"no","no_snow"
0,6,0.558441558441559,9,"no","no_snow"
0,6,0.545454545454545,69,"no","no_snow"
0,6,0.220779220779221,100,"no","no_snow"
0,6,0.714285714285714,13,"no","no_snow"
0.17,6,0.896103896103896,100,"yes","no_snow"
1.02,5,0.948051948051948,100,"no","no_snow"
0,6,0.571428571428571,6,"no","no_snow"
0,6,0.467532467532468,5,"no","no_snow"
3.91,6,0.896103896103896,91,"yes","no_snow"
1.79,6,0.506493506493507,64,"no","no_snow"
0,6,0.584415584415584,1,"no","no_snow"
0,6,0.688311688311688,100,"no","no_snow"
0,6,0.402597402597403,0,"no","no_snow"
0,6,0.142857142857143,15,"no","no_snow"
1.7,6,0.415584415584416,4,"no","no_snow"
0,6,0.805194805194805,97,"no","no_snow"
0,6,0.506493506493507,81,"no","no_snow"
0,0,0.727272727272727,100,"yes","no_snow"
0,6,0.493506493506494,17,"yes","no_snow"
0.26,1,0.974025974025974,100,"no","no_snow"
0,1,0.948051948051948,100,"no","no_snow"
1.53,1,0.974025974025974,100,"no","no_snow"
0,4,0.636363636363636,53,"no","no_snow"
0.43,6,0.935064935064935,100,"no","no_snow"
0,6,0.675324675324675,4,"no","no_snow"
0,6,0.324675324675325,0,"no","no_snow"
0,6,0.727272727272727,48,"no","no_snow"
0,6,0.818181818181818,100,"yes","no_snow"
0,6,0.597402597402597,94,"no","no_snow"
0,2,0.766233766233766,96,"no","no_snow"
0.68,6,0.675324675324675,21,"no","no_snow"
0,6,0.714285714285714,68,"no","no_snow"
0,6,0.623376623376623,27,"yes","no_snow"
0,1,0.753246753246753,100,"no","no_snow"
0,6,0.766233766233766,14,"no","no_snow"
0,1,0.883116883116883,100,"no","no_snow"
1.36,1,0.922077922077922,100,"no","no_snow"
1.36,6,0.311688311688312,0,"no","no_snow"
0.68,6,0.168831168831169,6,"no","no_snow"
0,6,0.779220779220779,5,"no","no_snow"
0.6,6,0.584415584415584,7,"no","no_snow"
0,6,0.584415584415584,33,"no","no_snow"
0,6,0.0779220779220779,14,"no","no_snow"
1.02,6,0.753246753246753,88,"no","no_snow"
1.02,2,0.961038961038961,100,"no","no_snow"
