"Visib_miles","Humidity","Cloud","Feels_like_c","wind_north_direction"
1.02,6,0.974025974025974,100,"no"
0.43,1,0.779220779220779,48,"no"
0,6,0.727272727272727,100,"no"
0,6,0.922077922077922,73,"no"
0.68,6,0.142857142857143,4,"no"
0,6,0.753246753246753,100,"no"
0.26,6,0.831168831168831,20,"no"
0,5,0.844155844155844,81,"no"
1.87,4,0.961038961038961,100,"no"
0,6,0.883116883116883,48,"no"
0,6,0.441558441558442,3,"no"
0,6,0.61038961038961,100,"no"
0,6,0.753246753246753,70,"no"
0.26,6,0.350649350649351,11,"no"
0,6,0.701298701298701,64,"no"
0,6,0.571428571428571,1,"no"
0,6,0.519480519480519,3,"no"
0,1,0.974025974025974,100,"no"
0.43,6,0.909090909090909,100,"no"
1.7,6,0.519480519480519,6,"no"
0,6,0.584415584415584,7,"no"
1.79,6,0.506493506493507,94,"no"
0,6,0.532467532467533,24,"no"
0,6,0.714285714285714,0,"no"
0.26,6,0.909090909090909,100,"yes"
4.25,6,0.883116883116883,33,"no"
0.09,6,0.688311688311688,23,"no"
0,6,0.896103896103896,48,"no"
0,0,0.636363636363636,100,"yes"
0,6,0.87012987012987,47,"no"
0,6,0.350649350649351,0,"no"
0,6,0.571428571428571,6,"no"
0,6,0.415584415584416,2,"no"
0,0,0.727272727272727,100,"yes"
3.91,6,0.883116883116883,35,"no"
0,6,0.883116883116883,100,"no"
2.3,4,0.948051948051948,100,"no"
0.51,6,0.636363636363636,67,"no"
3.06,6,0.61038961038961,77,"no"
0.77,6,0.909090909090909,55,"yes"
0.17,6,0.688311688311688,15,"no"
1.28,6,0.519480519480519,49,"yes"
0.09,6,0.714285714285714,98,"yes"
0.09,6,0.714285714285714,10,"no"
2.21,6,0.467532467532468,31,"no"
1.79,6,0.493506493506494,85,"no"
0,6,0.506493506493507,59,"no"
0.68,6,0.246753246753247,15,"no"
1.87,6,0.597402597402597,81,"no"
0.94,6,0.571428571428571,70,"no"
1.79,3,0.701298701298701,100,"yes"
6.29,1,0.974025974025974,100,"yes"
4.51,6,0.857142857142857,35,"yes"
1.02,3,0.974025974025974,100,"no"
0,6,0.467532467532468,100,"no"
0.09,6,0.74025974025974,8,"no"
0.68,6,0.922077922077922,100,"yes"
0,6,0.714285714285714,18,"no"
0,6,0.467532467532468,44,"yes"
1.7,6,0.25974025974026,3,"no"
0.09,6,0.74025974025974,100,"yes"
0.17,2,0.883116883116883,98,"no"
2.21,5,0.935064935064935,100,"no"
0,1,0.948051948051948,31,"no"
0,6,0.688311688311688,12,"no"
0.09,4,0.909090909090909,64,"yes"
0.09,6,0.922077922077922,55,"yes"
0.09,6,0.636363636363636,81,"yes"
2.04,4,0.792207792207792,61,"no"
0,6,0.181818181818182,30,"no"
1.11,6,0.623376623376623,77,"no"
0.51,6,0.688311688311688,15,"no"
0,6,0.61038961038961,0,"no"
0,6,0.38961038961039,17,"no"
0,1,0.909090909090909,100,"no"
0.09,1,0.805194805194805,100,"yes"
0.17,6,0.714285714285714,100,"yes"
1.87,6,0.623376623376623,86,"yes"
1.87,4,0.961038961038961,100,"no"
0,6,0.272727272727273,5,"no"
0.09,6,0.701298701298701,5,"no"
0.17,6,0.87012987012987,19,"yes"
0.09,6,0.896103896103896,71,"no"
0,6,0.571428571428571,55,"no"
4,6,0.558441558441559,14,"no"
0,6,0.155844155844156,0,"no"
0,1,0.74025974025974,100,"no"
3.91,6,0.896103896103896,100,"yes"
1.87,5,0.935064935064935,100,"no"
0,2,0.935064935064935,51,"no"
0,6,0.688311688311688,10,"no"
1.36,6,0.415584415584416,4,"no"
7.57,6,0.87012987012987,82,"no"
0,6,0.909090909090909,51,"no"
2.04,6,0.493506493506494,71,"no"
0,6,0.103896103896104,21,"no"
0,6,0.0909090909090909,0,"no"
0,6,0.48051948051948,69,"yes"
0.68,6,0.571428571428571,47,"no"
0.17,1,0.935064935064935,100,"no"
4.59,4,0.974025974025974,100,"no"
0,6,0.337662337662338,0,"no"
0.77,3,0.974025974025974,100,"no"
0,6,0.727272727272727,33,"no"
0,6,0.519480519480519,38,"no"
0.68,4,0.948051948051948,100,"no"
0,6,0.571428571428571,0,"no"
7.57,1,0.688311688311688,81,"no"
0.26,6,0.857142857142857,46,"yes"
0,1,0.961038961038961,100,"yes"
0,6,0.584415584415584,8,"no"
0,6,0.0519480519480519,0,"no"
0,6,0.701298701298701,12,"no"
0.09,6,0.896103896103896,84,"yes"
0,6,0.532467532467533,6,"no"
0,6,0.688311688311688,0,"no"
0,6,0.584415584415584,64,"no"
1.36,5,0.961038961038961,100,"no"
0,6,0.584415584415584,48,"no"
0.51,6,0.454545454545454,16,"yes"
0,4,0.909090909090909,55,"no"
0,6,0.571428571428571,6,"no"
7.57,6,0.883116883116883,100,"no"
0.77,6,0.714285714285714,70,"no"
0,6,0.597402597402597,54,"no"
0,6,0.48051948051948,5,"no"
0,6,0.519480519480519,0,"no"
0,6,0.48051948051948,0,"no"
0,6,0.506493506493507,5,"no"
0.09,6,0.935064935064935,100,"no"
0,6,0.428571428571429,0,"no"
0,6,0.558441558441559,35,"no"
0.43,1,0.935064935064935,44,"no"
0,6,0.636363636363636,3,"no"
0.09,5,0.714285714285714,21,"yes"
0.17,6,0.857142857142857,81,"yes"
0,6,0.909090909090909,100,"no"
0,1,0.948051948051948,51,"yes"
0.26,4,0.922077922077922,100,"no"
0,6,0.649350649350649,3,"no"
0,6,0.623376623376623,100,"no"
0,6,0.662337662337662,78,"no"
0,6,0.532467532467533,0,"no"
0.09,6,0.805194805194805,100,"yes"
1.36,3,0.987012987012987,100,"no"
1.02,1,0.987012987012987,100,"no"
0.26,6,0.87012987012987,99,"no"
1.79,6,0.571428571428571,84,"no"
0,6,0.584415584415584,88,"no"
0,6,0.649350649350649,88,"no"
0.09,6,0.701298701298701,81,"no"
0.77,3,0.961038961038961,100,"no"
0,6,0.0779220779220779,0,"no"
0,6,0.805194805194805,100,"no"
0,6,0.584415584415584,100,"no"
0,6,0.48051948051948,5,"no"
0,1,0.961038961038961,68,"yes"
0.17,6,0.87012987012987,30,"yes"
0,6,0.779220779220779,50,"no"
0,6,0.662337662337662,92,"no"
0,6,0.285714285714286,67,"no"
0,6,0.649350649350649,16,"no"
0,6,0.844155844155844,100,"no"
0,6,0.896103896103896,71,"no"
0,6,0.727272727272727,100,"no"
0,6,0.714285714285714,100,"no"
0.68,3,0.987012987012987,92,"no"
1.87,1,0.844155844155844,97,"yes"
1.36,3,0.883116883116883,69,"no"
0.77,0,0.948051948051948,100,"no"
3.49,1,0.883116883116883,100,"yes"
0.43,4,0.87012987012987,100,"yes"
0,0,0.61038961038961,96,"no"
0.09,6,0.896103896103896,33,"no"
0.43,5,0.909090909090909,99,"yes"
0.68,4,0.87012987012987,73,"yes"
1.7,1,0.948051948051948,99,"yes"
1.7,1,0.883116883116883,100,"yes"
4.25,4,0.935064935064935,92,"no"
5.36,4,0.636363636363636,73,"no"
18.79,1,0.961038961038961,73,"no"
3.23,2,0.844155844155844,100,"no"
0.26,3,0.831168831168831,100,"yes"
3.91,2,0.766233766233766,81,"no"
0.77,4,0.896103896103896,75,"yes"
0.77,6,0.844155844155844,95,"yes"
18.79,3,0.922077922077922,63,"no"
1.62,6,0.961038961038961,87,"yes"
0.09,4,0.896103896103896,90,"no"
2.38,1,0.896103896103896,100,"yes"
5.36,4,0.922077922077922,68,"no"
0.68,3,0.935064935064935,100,"yes"
4.25,4,0.896103896103896,100,"no"
2.21,4,0.584415584415584,100,"no"
2.21,2,0.662337662337662,100,"no"
2.47,1,0.844155844155844,100,"yes"
1.7,6,0.727272727272727,57,"no"
1.7,2,0.753246753246753,80,"yes"
0.77,4,0.922077922077922,60,"no"
8.58,1,0.961038961038961,100,"no"
1.36,4,0.857142857142857,100,"yes"
1.87,1,0.857142857142857,100,"yes"
0.09,2,0.753246753246753,84,"no"
0.17,3,0.792207792207792,100,"yes"
4.51,3,0.87012987012987,76,"no"
1.7,6,0.974025974025974,100,"no"
1.87,1,0.831168831168831,100,"yes"
2.21,1,0.818181818181818,100,"no"
0.68,2,1,100,"yes"
6.55,3,0.974025974025974,89,"yes"
1.62,6,0.961038961038961,100,"yes"
2.3,6,0.974025974025974,100,"no"
0,0,0.818181818181818,100,"yes"
0.26,5,0.454545454545454,35,"no"
0.51,3,0.844155844155844,76,"yes"
0.68,3,1,100,"no"
3.06,1,0.987012987012987,100,"no"
1.11,4,0.818181818181818,100,"yes"
8.58,1,0.935064935064935,100,"no"
2.47,2,0.961038961038961,100,"no"
0.51,4,0.805194805194805,70,"no"
3.15,2,0.896103896103896,100,"yes"
0.68,3,0.974025974025974,84,"yes"
6.55,1,0.961038961038961,100,"yes"
1.28,4,0.857142857142857,100,"yes"
0.34,1,0.701298701298701,97,"yes"
0.09,4,0.623376623376623,94,"yes"
7.57,5,0.844155844155844,63,"yes"
0,0,0.662337662337662,83,"no"
0.09,3,0.831168831168831,100,"yes"
0.17,4,0.792207792207792,100,"yes"
0.26,4,0.87012987012987,68,"no"
2.21,2,0.896103896103896,82,"no"
1.7,4,0.74025974025974,49,"yes"
1.53,1,0.961038961038961,100,"no"
3.49,1,0.961038961038961,100,"yes"
1.28,5,0.766233766233766,37,"no"
4.25,1,0.948051948051948,100,"yes"
0.51,1,0.857142857142857,99,"yes"
1.62,1,0.792207792207792,100,"yes"
0.6,4,0.61038961038961,55,"yes"
1.7,6,0.974025974025974,95,"no"
0,0,0.688311688311688,87,"no"
1.62,1,0.792207792207792,100,"yes"
0.51,5,0.558441558441559,59,"no"
0.85,4,0.831168831168831,71,"no"
1.79,5,0.935064935064935,72,"no"
8.58,1,0.857142857142857,100,"no"
0.43,4,0.961038961038961,96,"yes"
3.91,3,0.961038961038961,93,"no"
1.87,2,0.701298701298701,93,"yes"
1.11,4,0.558441558441559,100,"yes"
3.23,2,0.701298701298701,83,"no"
1.7,4,0.662337662337662,84,"no"
0.77,1,1,100,"yes"
0.77,5,0.896103896103896,90,"no"
0.09,4,0.519480519480519,100,"no"
0,4,0.571428571428571,90,"no"
0.09,3,0.948051948051948,100,"yes"
1.7,6,0.948051948051948,78,"yes"
1.02,4,0.805194805194805,100,"yes"
1.87,1,0.818181818181818,100,"yes"
6.29,3,0.961038961038961,100,"yes"
0.26,2,0.896103896103896,81,"yes"
6.29,1,0.987012987012987,88,"yes"
2.3,3,0.974025974025974,90,"yes"
1.79,1,0.831168831168831,100,"yes"
0.68,5,0.935064935064935,60,"yes"
1.02,5,0.805194805194805,100,"yes"
0.68,2,0.961038961038961,99,"yes"
0.68,4,0.87012987012987,92,"yes"
2.64,0,0.727272727272727,100,"no"
0.26,3,0.831168831168831,100,"yes"
2.3,6,0.974025974025974,89,"yes"
0.43,4,0.948051948051948,98,"no"
3.91,4,0.727272727272727,82,"no"
0.09,0,0.662337662337662,96,"no"
0.85,1,0.935064935064935,99,"no"
1.11,2,0.675324675324675,100,"yes"
1.11,1,0.662337662337662,100,"yes"
0.51,1,0.844155844155844,97,"yes"
0,0,0.779220779220779,95,"no"
3.49,3,0.87012987012987,100,"yes"
0.26,6,0.597402597402597,28,"no"
1.53,4,0.922077922077922,100,"no"
7.74,3,0.701298701298701,100,"yes"
0.17,6,0.896103896103896,100,"yes"
2.04,1,0.844155844155844,100,"yes"
1.7,1,0.805194805194805,100,"yes"
6.29,3,0.974025974025974,100,"yes"
3.15,1,0.974025974025974,100,"yes"
0.43,2,0.922077922077922,87,"no"
0.34,2,0.675324675324675,97,"no"
1.87,1,0.883116883116883,100,"yes"
0.68,5,0.87012987012987,49,"yes"
1.79,6,0.922077922077922,81,"no"
6.29,1,0.961038961038961,100,"yes"
13.35,3,0.675324675324675,78,"no"
6.55,1,0.974025974025974,100,"yes"
0.17,5,0.831168831168831,90,"yes"
1.02,4,0.792207792207792,100,"yes"
0.09,3,0.961038961038961,100,"yes"
7.74,1,0.74025974025974,100,"yes"
0,0,0.584415584415584,98,"no"
0.68,2,0.844155844155844,97,"no"
18.79,2,0.961038961038961,81,"no"
0.26,3,0.792207792207792,100,"yes"
2.3,3,0.974025974025974,97,"no"
0.77,4,0.87012987012987,100,"yes"
0,2,0.558441558441559,88,"no"
1.28,1,0.675324675324675,100,"yes"
0.77,2,0.896103896103896,100,"no"
2.3,3,0.987012987012987,100,"no"
0.26,4,0.402597402597403,55,"no"
0.09,6,0.909090909090909,44,"no"
1.02,5,0.805194805194805,100,"yes"
2.3,3,0.766233766233766,100,"yes"
0.77,5,0.87012987012987,100,"yes"
0.68,3,0.935064935064935,67,"yes"
2.64,0,0.662337662337662,94,"no"
1.7,2,0.857142857142857,74,"no"
0.17,3,0.87012987012987,100,"no"
6.55,6,0.974025974025974,100,"no"
1.7,4,0.909090909090909,100,"yes"
1.7,3,0.61038961038961,84,"no"
1.7,4,0.376623376623377,75,"no"
0.17,4,0.831168831168831,100,"yes"
3.06,1,0.974025974025974,100,"no"
0,2,0.779220779220779,100,"no"
1.87,2,0.909090909090909,100,"yes"
2.04,2,0.831168831168831,97,"no"
0,6,0.883116883116883,81,"no"
4.25,4,0.909090909090909,52,"no"
