,Visib_miles,Cloud,Feels_like_c,snow_or_not
0,0.0,0.6363636363636365,34,no_snow
1,0.0,0.2727272727272727,3,no_snow
2,0.17,0.9350649350649352,90,no_snow
3,0.0,0.7532467532467533,75,no_snow
4,1.79,0.5064935064935066,90,no_snow
5,0.68,0.5844155844155845,100,no_snow
6,0.09,0.7922077922077921,100,no_snow
7,0.09,0.7662337662337662,63,no_snow
8,1.11,0.5194805194805194,32,no_snow
9,4.25,0.9350649350649352,100,no_snow
10,0.68,0.4545454545454545,28,no_snow
11,1.02,0.8441558441558441,100,no_snow
12,0.0,0.5584415584415585,78,no_snow
13,1.11,0.8441558441558441,45,no_snow
14,0.77,0.974025974025974,100,no_snow
15,0.0,0.3116883116883117,0,no_snow
16,0.0,0.7272727272727273,100,no_snow
17,0.0,0.6753246753246753,9,no_snow
18,0.09,0.9090909090909092,100,no_snow
19,0.34,0.5974025974025974,99,no_snow
20,0.0,0.6103896103896105,0,no_snow
21,0.0,0.7272727272727273,0,no_snow
22,0.0,0.7532467532467533,100,no_snow
23,1.36,0.9350649350649352,100,no_snow
24,0.0,0.4285714285714285,19,no_snow
25,0.51,0.6883116883116884,15,no_snow
26,0.94,0.4285714285714285,79,no_snow
27,4.0,0.6493506493506493,9,no_snow
28,0.09,0.7012987012987013,54,no_snow
29,0.0,0.3896103896103896,2,no_snow
30,4.0,0.6493506493506493,13,no_snow
31,0.68,0.2207792207792208,12,no_snow
32,0.0,0.6103896103896105,42,no_snow
33,0.0,0.4545454545454545,17,no_snow
34,0.0,0.8571428571428572,85,no_snow
35,0.26,0.8311688311688312,20,no_snow
36,0.0,0.7012987012987013,6,no_snow
37,0.0,0.7142857142857142,68,no_snow
38,0.09,0.6623376623376624,100,no_snow
39,0.43,0.6493506493506493,68,no_snow
40,0.0,0.8571428571428572,60,no_snow
41,0.0,0.7532467532467533,69,no_snow
42,0.0,0.4285714285714285,100,no_snow
43,0.0,0.2467532467532467,0,no_snow
44,4.25,0.8961038961038961,12,no_snow
45,0.43,0.8311688311688312,100,no_snow
46,0.68,0.2337662337662338,20,no_snow
47,0.0,0.3246753246753247,0,no_snow
48,0.0,0.3896103896103896,1,no_snow
49,2.04,0.9350649350649352,100,no_snow
50,0.0,0.4935064935064935,6,no_snow
51,0.0,0.5844155844155845,39,no_snow
52,0.0,0.7792207792207793,32,no_snow
53,0.77,0.4545454545454545,7,no_snow
54,1.11,0.8701298701298701,55,no_snow
55,0.0,0.9090909090909092,69,no_snow
56,0.0,0.8311688311688312,42,no_snow
57,0.0,0.6493506493506493,7,no_snow
58,0.0,0.3116883116883117,8,no_snow
