,Temp_c,Dew_point_c
0,-7.0,-12.2
1,-6.7,-11.9
2,-6.4,-11.5
3,-5.4,-10.6
4,-5.0,-10.0
5,-4.3,-9.1
6,-4.1,-8.8
7,-4.4,-9.1
8,-5.1,-9.8
9,-4.8,-9.1
10,-2.4,-5.5
11,2.8,1.4
12,4.3,2.9
13,5.0,3.2
14,5.2,3.0
15,6.0,4.3
16,6.7,5.8
17,6.2,5.9
18,4.5,4.5
19,3.7,2.9
20,-0.2,-2.6
21,-2.2,-5.8
22,-4.1,-8.6
23,-4.5,-9.5
24,-3.9,-9.0
25,-4.0,-9.1
26,-4.1,-9.2
27,-4.1,-9.1
28,-3.9,-8.9
29,-3.8,-8.9
30,-3.7,-8.8
31,-3.5,-8.6
32,-3.3,-8.4
33,-2.6,-7.3
34,-0.6,-4.4
35,3.7,1.3
36,6.4,5.0
37,11.1,11.5
38,11.9,11.9
39,10.4,10.3
40,8.4,8.5
41,6.1,5.3
42,7.3,6.3
43,2.5,-0.2
44,1.1,-2.3
45,-0.8,-4.2
46,1.3,-2.0
47,1.3,-2.2
48,-1.9,-5.5
49,0.9,-3.0
50,1.1,-2.3
51,-0.9,-4.3
52,1.5,-1.5
53,1.6,-1.8
54,-0.7,-4.5
55,1.1,-2.4
56,0.8,-2.9
57,-1.3,-5.1
58,3.4,0.8
59,7.1,5.5
60,7.7,4.7
61,8.0,5.8
62,8.9,7.2
63,6.5,3.6
64,8.0,7.6
65,6.9,7.0
66,7.5,6.5
67,3.4,1.1
68,1.4,-1.3
69,0.7,-2.2
70,1.0,-1.9
71,1.0,-2.0
72,-2.3,-6.0
73,0.5,-2.6
74,0.4,-2.5
75,-3.3,-7.1
76,0.4,-2.0
77,0.4,-1.8
78,-2.5,-6.0
79,0.3,-1.4
80,0.2,-1.8
81,-1.3,-4.6
82,3.6,3.6
83,8.0,8.0
84,7.4,6.7
85,11.2,11.6
86,12.3,12.4
87,11.8,11.8
88,11.3,11.1
89,10.3,10.2
90,7.4,7.4
91,6.2,6.0
92,2.8,1.0
93,2.3,0.0
94,1.9,-0.9
95,1.6,-1.3
96,1.4,-1.8
97,1.7,-1.6
98,1.3,-2.0
99,1.0,-2.2
100,1.1,-1.8
101,0.5,-3.1
102,1.4,-2.1
103,1.9,-1.1
104,1.5,-1.6
105,1.8,1.0
106,2.6,0.3
107,4.4,4.0
108,5.3,3.8
109,6.1,5.1
110,6.4,4.3
111,7.5,3.9
112,7.0,3.1
113,6.2,2.5
114,5.2,1.6
115,4.3,0.5
116,0.5,-3.2
117,0.0,-2.8
118,-0.6,-3.5
119,-1.2,-3.6
120,-1.8,-1.8
121,-1.8,-2.5
122,-1.8,-3.3
123,-1.8,-4.0
124,-2.0,-4.3
125,-2.1,-4.7
126,-2.3,-5.0
127,-2.1,-4.6
128,-1.9,-4.3
129,-1.7,-3.9
130,0.8,-0.9
131,3.2,2.0
132,5.7,5.0
133,6.5,5.7
134,7.2,6.5
135,8.0,7.2
136,7.1,6.3
137,6.2,5.3
138,5.3,4.4
139,3.5,2.2
140,1.8,0.1
141,0.0,-2.1
142,-0.3,-2.4
143,-0.6,-2.8
144,-0.9,-3.1
145,-1.0,-3.3
146,-1.2,-3.4
147,-1.3,-3.6
148,-1.4,-3.6
149,-1.6,-3.7
150,-1.7,-3.7
151,-1.5,-3.2
152,-1.2,-2.7
153,-1.0,-2.2
154,0.9,-0.3
155,2.7,1.5
156,4.6,3.4
157,5.2,4.2
158,5.7,4.9
159,6.3,5.7
160,5.5,4.5
161,4.7,3.3
162,3.9,2.1
163,2.7,1.3
164,1.6,0.6
165,0.4,-0.2
166,0.2,-1.1
167,-0.1,-1.9
168,-0.3,-2.8
169,-0.6,-3.0
170,-0.8,-3.1
171,-1.1,-3.3
172,-1.1,-3.1
173,-1.0,-2.9
174,-1.0,-2.7
175,-0.8,-1.9
176,-0.5,-1.1
177,-0.3,-0.3
178,1.7,1.1
179,3.6,2.5
180,5.6,3.9
181,5.6,3.7
182,5.6,3.5
183,5.6,3.3
184,4.7,1.6
185,3.9,0.0
186,3.0,-1.7
187,1.1,-3.6
188,-0.7,-5.6
189,-2.6,-7.5
190,-3.1,-8.1
191,-3.7,-8.6
192,-4.2,-9.2
193,-4.5,-9.6
194,-4.7,-10.0
195,-5.0,-10.4
196,-5.3,-10.7
197,-5.6,-11.0
198,-5.9,-11.3
199,-6.3,-11.7
200,-6.6,-12.2
201,-7.0,-12.6
202,-6.7,-12.3
203,-6.5,-12.0
204,-6.2,-11.7
205,-5.8,-11.2
206,-5.4,-10.6
207,-5.0,-10.1
208,-5.3,-10.5
209,-5.7,-10.8
210,-6.0,-11.2
211,-6.6,-11.8
212,-7.1,-12.4
213,-7.7,-13.0
214,-8.1,-12.9
215,-8.4,-12.7
216,-8.8,-12.6
217,-9.1,-12.7
218,-9.4,-12.7
219,-9.7,-12.8
220,-9.9,-12.7
221,-10.0,-12.5
222,-10.2,-12.4
223,-10.1,-12.3
224,-10.1,-12.3
225,-10.0,-12.2
226,-9.0,-11.8
