,Temp_c,Cloud,Feels_like_c,Dew_point_c
0,-7.0,0.7142857142857142,0,-12.2
1,-6.7,0.6883116883116884,0,-11.9
2,-6.4,0.6623376623376624,0,-11.5
3,-5.4,0.5454545454545454,0,-10.6
4,-5.0,0.5324675324675325,0,-10.0
5,-4.3,0.4935064935064935,0,-9.1
6,-4.1,0.4805194805194805,0,-8.8
7,-4.4,0.5194805194805194,0,-9.1
8,-5.1,0.5714285714285714,0,-9.8
9,-4.8,0.5974025974025974,0,-9.1
10,-2.4,0.6493506493506493,0,-5.5
11,2.8,0.6493506493506493,0,1.4
12,4.3,0.6623376623376624,0,2.9
13,5.0,0.6493506493506493,0,3.2
14,5.2,0.5974025974025974,0,3.0
15,6.0,0.6103896103896105,0,4.3
16,6.7,0.6753246753246753,0,5.8
17,6.2,0.7272727272727273,0,5.9
18,4.5,0.7402597402597402,0,4.5
19,3.7,0.6753246753246753,0,2.9
20,-0.2,0.6103896103896105,0,-2.6
21,-2.2,0.6493506493506493,0,-5.8
22,-4.1,0.7532467532467533,0,-8.6
23,-4.5,0.7142857142857142,0,-9.5
24,-3.9,0.5844155844155845,0,-9.0
25,-4.0,0.5324675324675325,0,-9.1
26,-4.1,0.4935064935064935,0,-9.2
27,-4.1,0.45454545454545453,0,-9.1
28,-3.9,0.41558441558441556,0,-8.9
29,-3.8,0.3896103896103896,0,-8.9
30,-3.7,0.3636363636363636,0,-8.8
31,-3.5,0.3376623376623376,0,-8.6
32,-3.3,0.31168831168831174,0,-8.4
33,-2.6,0.32467532467532473,0,-7.3
34,-0.6,0.40259740259740256,0,-4.4
35,3.7,0.5324675324675325,0,1.3
36,6.4,0.7012987012987013,1,5.0
37,11.1,0.2337662337662338,0,11.5
38,11.9,0.2207792207792208,0,11.9
39,10.4,0.8441558441558441,0,10.3
40,8.4,0.28571428571428575,21,8.5
41,6.1,0.3376623376623376,100,5.3
42,7.3,0.7012987012987013,5,6.3
43,2.5,0.4675324675324675,5,-0.2
44,1.1,0.4675324675324675,28,-2.3
45,-0.8,0.6103896103896105,95,-4.2
46,1.3,0.44155844155844154,32,-2.0
47,1.3,0.41558441558441556,18,-2.2
48,-1.9,0.7012987012987013,100,-5.5
49,0.9,0.3506493506493506,88,-3.0
50,1.1,0.31168831168831174,32,-2.3
51,-0.9,0.5974025974025974,100,-4.3
52,1.5,0.28571428571428575,9,-1.5
53,1.6,0.31168831168831174,94,-1.8
54,-0.7,0.5064935064935066,100,-4.5
55,1.1,0.32467532467532473,3,-2.4
56,0.8,0.31168831168831174,52,-2.9
57,-1.3,0.5584415584415585,91,-5.1
58,3.4,0.24675324675324678,0,0.8
59,7.1,0.18181818181818182,0,5.5
60,7.7,0.3636363636363636,0,4.7
61,8.0,0.12987012987012986,0,5.8
62,8.9,0.15584415584415584,1,7.2
63,6.5,0.28571428571428575,0,3.6
64,8.0,0.25974025974025977,10,7.6
65,6.9,0.28571428571428575,13,7.0
66,7.5,0.31168831168831174,0,6.5
67,3.4,0.32467532467532473,3,1.1
68,1.4,0.32467532467532473,3,-1.3
69,0.7,0.41558441558441556,0,-2.2
70,1.0,0.32467532467532473,2,-1.9
71,1.0,0.29870129870129875,3,-2.0
72,-2.3,0.5194805194805194,5,-6.0
73,0.5,0.29870129870129875,5,-2.6
74,0.4,0.29870129870129875,7,-2.5
75,-3.3,0.6233766233766234,95,-7.1
76,0.4,0.28571428571428575,67,-2.0
77,0.4,0.28571428571428575,100,-1.8
78,-2.5,0.5324675324675325,43,-6.0
79,0.3,0.27272727272727276,18,-1.4
80,0.2,0.25974025974025977,19,-1.8
81,-1.3,0.31168831168831174,13,-4.6
82,3.6,0.18181818181818182,2,3.6
83,8.0,0.14285714285714285,2,8.0
84,7.4,0.5194805194805194,0,6.7
