Time,Temp_c,Wind_mph,Wind_degree,Wind_dir,Is_day,Condition,Precip_mm,Visib_miles,Humidity,Cloud,Feels_like_c,Dew_point_c,UV,Total_snow_cm,Chance_of_rain,Chance_of_snow
00:00,-7.0,5.6,259,W,0,Clear,0.0,0.0,6.0,77,0,-12.2,-10.3,-7.0,0,0
01:00,-6.7,5.6,255,WSW,0,Clear,0.0,0.0,6.0,75,0,-11.9,-10.3,-6.7,0,0
02:00,-6.4,5.8,248,WSW,0,Clear,0.0,0.0,6.0,73,0,-11.5,-10.5,-6.4,0,0
03:00,-5.4,5.6,250,WSW,0,Clear,0.0,0.0,6.0,64,0,-10.6,-11.1,-5.4,0,0
04:00,-5.0,5.6,252,WSW,0,Clear,0.0,0.0,6.0,63,0,-10.0,-10.8,-5.0,0,0
05:00,-4.3,5.6,251,WSW,0,Clear,0.0,0.0,6.0,60,0,-9.1,-10.8,-4.3,0,0
06:00,-4.1,6.0,247,WSW,0,Clear,0.0,0.0,6.0,59,0,-8.8,-10.8,-4.1,0,0
07:00,-4.4,6.0,244,WSW,0,Clear,0.0,0.0,6.0,62,0,-9.1,-10.7,-4.4,0,0
08:00,-5.1,6.3,240,WSW,1,Sunny,0.0,0.0,6.0,66,0,-9.8,-10.5,-5.1,0,0
09:00,-4.8,5.1,245,WSW,1,Sunny,0.0,0.0,6.0,68,0,-9.1,-9.7,-4.8,0,0
10:00,-2.4,3.1,259,W,1,Sunny,0.0,0.0,6.0,72,0,-5.5,-6.8,-2.4,0,0
11:00,2.8,0.4,4,N,1,Sunny,0.0,0.0,6.0,72,0,1.4,-1.7,2.8,0,0
12:00,4.3,1.8,142,SE,1,Sunny,0.0,0.0,6.0,73,0,2.9,-0.2,4.3,0,0
13:00,5.0,3.4,180,S,1,Sunny,0.0,0.0,6.0,72,0,3.2,0.5,5.0,0,0
14:00,5.2,1.6,118,ESE,1,Sunny,0.0,0.0,6.0,68,0,3.0,-0.3,5.2,0,0
15:00,6.0,0.9,67,ENE,1,Sunny,0.0,0.0,6.0,69,0,4.3,0.7,6.0,0,0
16:00,6.7,1.1,2,N,1,Sunny,0.0,0.0,6.0,74,0,5.8,2.4,6.7,0,0
17:00,6.2,1.3,335,NNW,1,Sunny,0.0,0.0,6.0,78,0,5.9,2.6,6.2,0,0
18:00,4.5,3.6,294,WNW,0,Clear,0.0,0.0,6.0,79,0,4.5,1.2,4.5,0,0
19:00,3.7,4.9,278,W,0,Clear,0.0,0.0,6.0,74,0,2.9,-0.5,3.7,0,0
20:00,-0.2,5.4,269,W,0,Clear,0.0,0.0,6.0,69,0,-2.6,-5.1,-0.2,0,0
21:00,-2.2,5.4,256,WSW,0,Clear,0.0,0.0,6.0,72,0,-5.8,-6.5,-2.2,0,0
22:00,-4.1,6.9,238,WSW,0,Clear,0.0,0.0,6.0,80,0,-8.6,-7.1,-4.1,0,0
23:00,-4.5,7.6,238,WSW,0,Clear,0.0,0.0,6.0,77,0,-9.5,-8.0,-4.5,0,0
00:00,-3.9,8.1,246,WSW,0,Clear,0.0,0.0,6.0,67,0,-9.0,-9.2,-3.9,0,0
01:00,-4.0,8.3,250,WSW,0,Clear,0.0,0.0,6.0,63,0,-9.1,-9.9,-4.0,0,0
02:00,-4.1,8.3,247,WSW,0,Clear,0.0,0.0,6.0,60,0,-9.2,-10.6,-4.1,0,0
03:00,-4.1,8.3,248,WSW,0,Clear,0.0,0.0,6.0,57,0,-9.1,-11.2,-4.1,0,0
04:00,-3.9,8.1,250,WSW,0,Clear,0.0,0.0,6.0,54,0,-8.9,-11.8,-3.9,0,0
05:00,-3.8,8.5,247,WSW,0,Clear,0.0,0.0,6.0,52,0,-8.9,-12.3,-3.8,0,0
06:00,-3.7,8.7,242,WSW,0,Clear,0.0,0.0,6.0,50,0,-8.8,-12.6,-3.7,0,0
07:00,-3.5,8.5,243,WSW,0,Clear,0.0,0.0,6.0,48,0,-8.6,-12.9,-3.5,0,0
08:00,-3.3,8.3,246,WSW,1,Sunny,0.0,0.0,6.0,46,0,-8.4,-13.1,-3.3,0,0
09:00,-2.6,8.1,244,WSW,1,Sunny,0.0,0.0,6.0,47,0,-7.3,-12.2,-2.6,0,0
10:00,-0.6,6.7,239,WSW,1,Sunny,0.0,0.0,6.0,53,0,-4.4,-9.0,-0.6,0,0
11:00,3.7,5.1,236,WSW,1,Sunny,0.0,0.0,6.0,63,0,1.3,-2.7,3.7,0,0
12:00,6.4,3.6,227,SW,1,Sunny,0.0,0.0,6.0,76,1,5.0,2.5,6.4,0,0
13:00,11.1,2.2,214,SW,1,Sunny,0.0,0.0,6.0,40,0,11.5,-2.1,11.1,0,0
14:00,11.9,1.6,194,SSW,1,Sunny,0.0,0.0,6.0,39,0,11.9,-1.8,11.9,0,0
15:00,10.4,0.4,289,WNW,1,Sunny,0.0,0.0,6.0,87,0,10.3,8.3,10.4,0,0
16:00,8.4,2.2,321,NW,1,Sunny,0.0,0.0,6.0,44,21,8.5,-3.0,8.4,0,0
17:00,6.1,3.1,301,WNW,1,Overcast,0.0,0.0,6.0,48,100,5.3,-4.1,6.1,0,0
18:00,7.3,4.0,285,WNW,0,Clear,0.0,0.0,6.0,76,5,6.3,3.4,7.3,0,0
19:00,2.5,5.8,267,W,0,Clear,0.0,0.0,6.0,58,5,-0.2,-4.8,2.5,0,0
20:00,1.1,6.9,259,W,0,Partly cloudy,0.0,0.0,6.0,58,28,-2.3,-6.2,1.1,0,0
21:00,-0.8,7.2,252,WSW,0,Overcast,0.0,0.0,6.0,69,95,-4.2,-5.8,-0.8,0,0
22:00,1.3,6.9,248,WSW,0,Partly cloudy,0.0,0.0,6.0,56,32,-2.0,-6.6,1.3,0,0
23:00,1.3,7.4,251,WSW,0,Clear,0.0,0.0,6.0,54,18,-2.2,-7.0,1.3,0,0
00:00,-1.9,7.8,254,WSW,0,Overcast,0.0,0.0,6.0,76,100,-5.5,-5.5,-1.9,0,0
01:00,0.9,8.3,254,WSW,0,Overcast,0.0,0.0,6.0,49,88,-3.0,-8.6,0.9,0,0
02:00,1.1,6.9,247,WSW,0,Partly cloudy,0.0,0.0,6.0,46,32,-2.3,-9.2,1.1,0,0
03:00,-0.9,6.9,256,WSW,0,Overcast,0.0,0.0,6.0,68,100,-4.3,-6.0,-0.9,0,0
04:00,1.5,6.3,250,WSW,0,Clear,0.0,0.0,6.0,44,9,-1.5,-9.3,1.5,0,0
05:00,1.6,7.2,255,WSW,0,Overcast,0.0,0.0,6.0,46,94,-1.8,-8.7,1.6,0,0
06:00,-0.7,7.2,252,WSW,0,Overcast,0.0,0.0,6.0,61,100,-4.5,-7.3,-0.7,0,0
07:00,1.1,7.4,255,WSW,0,Clear,0.0,0.0,6.0,47,3,-2.4,-9.0,1.1,0,0
08:00,0.8,7.6,252,WSW,1,Partly cloudy,0.0,0.0,6.0,46,52,-2.9,-9.4,0.8,0,0
09:00,-1.3,7.2,261,W,1,Overcast,0.0,0.0,6.0,65,91,-5.1,-7.1,-1.3,0,0
10:00,3.4,6.0,271,W,1,Sunny,0.0,0.0,6.0,41,0,0.8,-8.6,3.4,0,0
11:00,7.1,5.4,268,W,1,Sunny,0.0,0.0,6.0,36,0,5.5,-7.1,7.1,0,0
12:00,7.7,4.9,264,W,1,Sunny,0.0,0.0,6.0,50,0,4.7,-2.1,7.7,0,0
13:00,8.0,7.6,266,W,1,Sunny,0.0,0.0,6.0,32,0,5.8,-7.5,8.0,0,0
14:00,8.9,6.5,279,W,1,Sunny,0.0,0.0,6.0,34,1,7.2,-6.1,8.9,0,0
15:00,6.5,3.8,292,WNW,1,Sunny,0.0,0.0,6.0,44,0,3.6,-4.8,6.5,0,0
16:00,8.0,2.9,293,WNW,1,Sunny,0.0,0.0,6.0,42,10,7.6,-4.1,8.0,0,0
17:00,6.9,2.0,293,WNW,1,Sunny,0.0,0.0,6.0,44,13,7.0,-4.4,6.9,0,0
18:00,7.5,3.1,256,WSW,0,Clear,0.0,0.0,6.0,46,0,6.5,-3.2,7.5,0,0
19:00,3.4,5.4,245,WSW,0,Clear,0.0,0.0,6.0,47,3,1.1,-6.7,3.4,0,0
20:00,1.4,5.4,228,SW,0,Clear,0.0,0.0,6.0,47,3,-1.3,-8.5,1.4,0,0
21:00,0.7,5.4,224,SW,0,Clear,0.0,0.0,6.0,54,0,-2.2,-7.6,0.7,0,0
22:00,1.0,5.8,236,WSW,0,Clear,0.0,0.0,6.0,47,2,-1.9,-9.1,1.0,0,0
23:00,1.0,6.0,235,SW,0,Clear,0.0,0.0,6.0,45,3,-2.0,-9.6,1.0,0,0
00:00,-2.3,6.3,231,SW,0,Clear,0.0,0.0,6.0,62,5,-6.0,-8.5,-2.3,0,0
01:00,0.5,6.0,234,SW,0,Clear,0.0,0.0,6.0,45,5,-2.6,-10.1,0.5,0,0
02:00,0.4,5.4,239,WSW,0,Clear,0.0,0.0,6.0,45,7,-2.5,-10.1,0.4,0,0
03:00,-3.3,4.7,234,SW,0,Overcast,0.0,0.0,6.0,70,95,-7.1,-8.0,-3.3,0,0
04:00,0.4,4.5,230,SW,0,Cloudy,0.0,0.0,6.0,44,67,-2.0,-10.3,0.4,0,0
05:00,0.4,4.0,238,WSW,0,Overcast,0.0,0.0,6.0,44,100,-1.8,-10.4,0.4,0,0
06:00,-2.5,3.6,245,WSW,0,Partly cloudy,0.0,0.0,6.0,63,43,-6.0,-8.6,-2.5,0,0
07:00,0.3,3.4,242,WSW,0,Clear,0.0,0.0,6.0,43,18,-1.4,-10.8,0.3,0,0
08:00,0.2,3.8,239,WSW,1,Sunny,0.0,0.0,6.0,42,19,-1.8,-11.0,0.2,0,0
09:00,-1.3,3.6,239,WSW,1,Sunny,0.0,0.0,6.0,46,13,-4.6,-11.4,-1.3,0,0
10:00,3.6,1.8,211,SSW,1,Sunny,0.0,0.0,6.0,36,2,3.6,-10.0,3.6,0,0
11:00,8.0,1.8,133,SE,1,Sunny,0.0,0.0,6.0,33,2,8.0,-7.4,8.0,0,0
12:00,7.4,2.2,111,ESE,1,Sunny,0.0,0.0,6.0,62,0,6.7,0.6,7.4,0,0
13:00,11.2,2.2,113,ESE,1,Sunny,0.0,0.0,6.0,30,0,11.6,-5.8,11.2,0,0
14:00,12.3,2.9,111,ESE,1,Sunny,0.0,0.0,6.0,29,0,12.4,-5.4,12.3,0,0
15:00,11.8,3.1,103,ESE,1,Sunny,0.0,0.0,6.0,29,3,11.8,-5.6,11.8,0,0
16:00,11.3,3.4,99,E,1,Sunny,0.0,0.0,6.0,36,4,11.1,-3.4,11.3,0,0
17:00,10.3,2.9,90,E,1,Sunny,0.0,0.0,6.0,43,3,10.2,-1.6,10.3,0,0
18:00,7.4,0.9,76,ENE,0,Clear,0.0,0.0,6.0,50,2,7.4,-2.4,7.4,0,0
19:00,6.2,2.2,265,W,0,Clear,0.0,0.0,6.0,52,2,6.0,-3.0,6.2,0,0
20:00,2.8,4.0,260,W,0,Clear,0.0,0.0,6.0,52,1,1.0,-6.0,2.8,0,0
21:00,2.3,4.9,254,WSW,0,Clear,0.0,0.0,6.0,52,1,0.0,-6.4,2.3,0,0
